Model,MAE,RMSE,R2 Score
Linear Regression,0.016325116145953583,0.020739098178647167,0.9247509503622299
Random Forest,0.011008744150116356,0.020411148394203753,0.9271119780272052
XGBoost,0.007900691030330658,0.019283848122624615,0.9349408044474525
